"abandon kindness"
"also tell"
"also though"
"also vali"
"also virata"
"also viz"
"also whilst"
"also whither"
"also within"
"also wrathful"
"altar merit"
"altar shines"
"altar strewn"
"alter sleep"
"although however"
"altogether twelve"
"always contented"
"always divide"
"always fond"
"always melancholy"
"always observant"
"always seemest"
"always shouldst"
"always solicitous"
"always thinking"
"always thinkingi"
"always wrathful"
"amahatha kumathaka"
"amain towards"
"amatsyasin srishin"
"amazed cheer"
"ambhoruha amatsyasin"
"ambiguity ascertainment"
"ambika lakshmana"
"ambikas son"
"ambrosia offers"
"ambuscades c"
"amiable one"
"amidst foes"
"amidst men"
"amidst picturesque"
"amidst woodland"
"amitashana meghasvana"
"amogha incapable"
"amogha lambapayodhara"
"among men"
"amongst bowmen"
"amongst bows"
"amongst brahmanas"
"amongst brothers"
"amongst cars"
"amongst celestials"
"amongst children"
"amongst conquerors"
"amongst creatures"
"amongst earthen"
"amongst kshatriyas"
"amongst men"
"amongst munis"
"amongst others"
"amongst persons"
"amongst rakshasa"
"amongst rakshasas"
"amongst rishis"
"amongst smiters"
"amongst steeds"
"amongst us"
"amongst valhikas"
"amongst yakshas"
"amongst ye"
"ample body"
"ample presents"
"amras mango"
"amrita capable"
"amrita indeed"
"amrita indra"
"amrita let"
"amrita nectar"
"amrita poison"
"amrita saying"
"amrita therefore"
"amrita thereupon"
"amrita vishnu"
"amrita viz"
"amusement temples"
"amva along"
"amva amvika"
"amva said"
"amvarisha bhagiratha"
"amvarisha kukura"
"amvarisha said"
"amvarisha son"
"amvarishas merits"
"amvashtha king"
"amvashthas malavas"
"amvashthas ugras"
"amvika hath"
"amvikas son"
"amvuvahini sarayu"
"amytis agallochum"
"anadara jarasandha"
"anadhrishti samika"
"anadhrishya kundabhedin"
"anadhrishya kundaveda"
"anadi amadhya"
"anagha gopati"
"anagha krodhana"
"anagha meshahrit"
"anakadundhuvi vasudeva"
"anakadundubhi lying"
"anakas conchs"
"anala pratyusha"
"anala vibhavasu"
"analysing desire"
"anamaya always"
"ananda pramoda"
"ananga ananga"
"ananga sarva"
"anangangahara hara"
"ananta dwadasabhuja"
"ananta infinite"
"ananta kapila"
"ananta sesha"
"ananta vasuki"
"anantas help"
"anaraka bathing"
"anaranya arka"
"anaranya janujangha"
"anarchy prevails"
"anarta country"
"anarta land"
"anarta warriors"
"anartta country"
"anavadya gunamukhya"
"anavadya manu"
"ancestor bhrigu"
"ancestor dhananjaya"
"ancestor hath"
"ancestor janaka"
"ancestor pramati"
"ancestor yayati"
"ancestors afflict"
"ancestors heads"
"ancestors hospitality"
"ancestors impoverished"
"ancestors king"
"ancestors rama"
"ancestors said"
"ancestors standing"
"ancestors tearing"
"ancestors thus"
"ancestral cake"
"anchorites dress"
"ancient abode"
"ancient customs"
"ancient days"
"ancient exalted"
"ancient god"
"ancient history"
"ancient institutes"
"ancient kalpas"
"ancient narrative"
"ancient omniscient"
"ancient one"
"ancient ordinance"
"ancient purusha"
"ancient rishi"
"ancient rishis"
"ancient sages"
"ancient sloka"
"ancient soul"
"ancient stories"
"ancient story"
"ancient times"
"ancient vishnu"
"ancients ye"
"andhaka beholding"
"andhaka race"
"andhaka races"
"andhaka rama"
"andhaka salutations"
"andhaka sumitra"
"andhaka tribes"
"andhakas blazing"
"andhakas endued"
"andhakas hear"
"andhakas kill"
"andhakas viz"
"andhakas wellknowing"
"andhra country"
"andhra tribe"
"anew fire"
"anew partha"
"anga bhava"
"anga rishta"
"anga vanga"
"angada durmada"
"angadas behold"
"angadas displaced"
"angaraka indra"
"angaraka kunjara"
"angaraka mangala"
"angaraka mars"
"angaristha one"
"angas adrisyanti"
"angas endued"
"angas king"
"angas semen"
"angas viz"
"anger arrogance"
"anger attaineth"
"anger bear"
"anger beholding"
"anger blaze"
"anger bountiful"
"anger curse"
"anger deception"
"anger dependence"
"anger duryodhana"
"anger falleth"
"anger fear"
"anger finding"
"anger fools"
"anger grief"
"anger incautiousness"
"anger indeed"
"anger indolence"
"anger lust"
"anger maitreya"
"anger pride"
"anger prosperity"
"anger ran"
"anger saying"
"anger springs"
"anger tell"
"anger thereupon"
"anger towards"
"anghrika naikadrik"
"angira sakra"
"angira samvarta"
"angiras atri"
"angiras body"
"angiras conversant"
"angiras hence"
"angiras house"
"angiras kasyapa"
"angiras kratu"
"angiras men"
"angiras pulastya"
"angiras race"
"angiras replied"
"angiras son"
"angiras sons"
"angiras vasava"
"angiras vrihaspati"
"angirasa twice"
"angirasas descendants"
"angirasas line"
"angirasas race"
"angirasas son"
"angirass race"
"angirass sons"
"angry falguna"
"angry show"
"angry terror"
"angry yayati"
"anguish however"
"anika vidarana"
"anila anala"
"anila kalmasha"
"anima laghima"
"animal bound"
"animal faces"
"animal food"
"animal free"
"animal juices"
"animal life"
"animal sacrifice"
"animal skins"
"animal sprung"
"animal system"
"animal towards"
"animals always"
"animals animals"
"animals beasts"
"animals beholding"
"animals bhima"
"animals body"
"animals bring"
"animals darts"
"animals give"
"animals indeed"
"animals lands"
"animals mentioned"
"animals numerous"
"animals others"
"animals paddy"
"animals perchance"
"animals rows"
"animals say"
"animals sharabhas"
"animals strewn"
"animals trees"
"animals wealth"
"animandavya asked"
"animandavya mandavya"
"animate agent"
"animation every"
"animosities towards"
"animosity indeed"
"animosity towards"
"animosity vanity"
"aniruddha acting"
"aniruddha divested"
"aniruddha madhava"
"aniruddha pradyumna"
"aniruddha samika"
"aniruddha springs"
"aniruddha srutayu"
"aniruddhas grace"
"aniruddhas navel"
"anirudha seated"
"anjalika weapon"
"anjalikabedha indeed"
"anjana vamana"
"anjanaparvan aswatthaman"
"annihilation hath"
"annoyance passing"
"another accomplished"
"another amongst"
"another ashvatthama"
"another battle"
"another behold"
"another briefly"
"another carwarriors"
"another desirous"
"another dhrishtadyumna"
"another diverse"
"another dronas"
"another dwelling"
"another elephants"
"another encompassing"
"another entering"
"another fierce"
"another fraught"
"another hand"
"another horsemen"
"another horses"
"another hundreds"
"another indeed"
"another jarasandha"
"another karna"
"another king"
"another leave"
"another let"
"another listen"
"another lustful"
"another many"
"another meanwhile"
"another men"
"another mistrust"
"another ones"
"another reflecting"
"another return"
"another rishis"
"another satyaki"
"another save"
"another saying"
"another seem"
"another sharadvatas"
"another shikhandi"
"another slay"
"another smote"
"another therefore"
"another thinking"
"another thyself"
"another tremendous"
"another vegetables"
"another viz"
"another yogins"
"anothers acts"
"anothers animosity"
"anothers attributes"
"anothers bidding"
"anothers breast"
"anothers feet"
"anothers field"
"anothers food"
"anothers hands"
"anothers head"
"anothers house"
"anothers laches"
"anothers life"
"anothers lives"
"anothers might"
"anothers premises"
"anothers progress"
"anothers rank"
"anothers shafts"
"anothers sight"
"anothers wants"
"anothers weapons"
"anothers welfare"
"ansa aryyaman"
"ansa bhaga"
"ansa vaga"
"ansu jimuta"
"ansuman likewise"
"ansumat sailabha"
"answer however"
"answer indra"
"answer said"
"answer us"
"answered dhritarashtras"
"answered pratardana"
"answered pritha"
"answered saying"
"answered well"
"answeredfor want"
"answeredthe sun"
"answeredthe vedas"
"answeredtrue knowledge"
"ant confused"
"antagonist beholding"
"antagonist casting"
"antagonist deeply"
"antagonist karna"
"antagonist partha"
"antagonists bow"
"antagonists breast"
"antagonists car"
"antagonists driver"
"antagonists head"
"antagonists horses"
"antagonists others"
"antagonists steeds"
"antagonists weapon"
"antaralock inner"
"antarddhana endued"
"anthills deeply"
"antimony shone"
"anu also"
"anu replied"
"anudara dridhasandha"
"anudyuta subsequent"
"anugoptri sugoptri"
"anuha yuvanaswu"
"anukarman pratia"
"anukarsa unjoined"
"anumati kuhu"
"anupa subhaga"
"anuvinda durdharsha"
"anuvinda king"
"anuvinda sudakshina"
"anuvindas head"
"anuyaina nishangi"
"anxieties gradually"
"anxieties rest"
"anxiety arrived"
"anxiety becomes"
"anxiety begged"
"anxiety beholding"
"anxiety brahmanas"
"anxiety deprived"
"anxiety hath"
"anxiety hunger"
"anxiety indulgence"
"anxiety listen"
"anxiety therefore"
"anxiety towards"
"anxiety ye"
"anyagocara pashuda"
"anybody oh"
"anybody similarly"
"anybody wonderful"
"anybodys knowing"
"anybodys nails"
"anyone alone"
"anything anything"
"anything base"
"anything disagreeable"
"anything else"
"anything every"
"anything exists"
"anything foreign"
"anything however"
"anything pardon"
"anything rashthis"
"anything signal"
"anything singly"
"anything till"
"anything today"
"anything unwise"
"anything within"
"anywhere thus"
"aolupa durmukha"
"apa teja"
"apana airs"
"apana breath"
"apana duct"
"apana moves"
"apana pleasure"
"apana region"
"apana samana"
"apana spoke"
"apantaratamas endued"
"apara nanda"
"aparajita jyotika"
"aparajita kundasayin"
"apava blest"
"apava however"
"apavathat rishi"
"ape hanuman"
"ape said"
"ape shalt"
"ape thus"
"apebannered arjuna"
"apebannered warrior"
"apparent sin"
"appearance begin"
"appearance beholding"
"appearance complexion"
"appearance first"
"appearance growth"
"appearance hear"
"appearance indicated"
"appearance soon"
"appearance vahuka"
"appendix khita"
"appetite hath"
"applaud abstention"
"applaud action"
"applaud acts"
"applaud chastisement"
"applaud emancipation"
"applaud penances"
"applaud truth"
"applause beholding"
"applause worship"
"applicants deserve"
"apply remedies"
"apply therefore"
"appoints servants"
"apprehension takshaka"
"approach brave"
"approach cannot"
"approach givers"
"approach nobody"
"approach partha"
"approach yudhishthira"
"approaches kingdoms"
"approaches wives"
"approaches ye"
"approachest hither"
"approacheth towards"
"approaching bhishma"
"approaching brahma"
"approaching dhrishtadyumna"
"approaching drona"
"approaching fire"
"approaching heaven"
"approaching indra"
"approaching rama"
"approaching towards"
"appropriating diverse"
"approval let"
"approval manibhadra"
"approved hymns"
"aprajita panditaka"
"apsara alambusa"
"apsara art"
"apsara ghritachi"
"apsara menaka"
"apsara misrakesi"
"apsara panchachuda"
"apsara standing"
"apsara urvasi"
"apsara verily"
"apsara viswachi"
"apsara water"
"apsaras abandoning"
"apsaras alamvusha"
"apsaras also"
"apsaras amongst"
"apsaras bathing"
"apsaras behold"
"apsaras beholding"
"apsaras clad"
"apsaras dance"
"apsaras danced"
"apsaras dwell"
"apsaras fasting"
"apsaras fill"
"apsaras men"
"apsaras numbering"
"apsaras rejoinedwe"
"apsaras riding"
"apsaras rishis"
"apsaras said"
"apsaras spake"
"apsaras surrounded"
"apsaras therefore"
"apsaras urvasi"
"apsaras worship"
"apsuhomya dhaumya"
"apsujata gopali"
"apta karotaka"
"aquilaria agallocha"
"aquiline nose"
"arani nachika"
"arani penances"
"aratta breed"
"aratta sinfully"
"aravindaksha pitri"
"archer arjuna"
"archer drona"
"archers kripa"
"archery every"
"archika hill"
"architect maya"
"arghya consisting"
"arghya highly"
"arghya putting"
"arghyawith gifts"
"aries gemini"
"arihan bhutasraya"
"arise arise"
"arise doubtless"
"arise naturally"
"arise therefore"
"arisen verily"
"arises pradyumna"
"arishtanemi garuda"
"arishtanemi siddha"
"arising therefrom"
"aristanemi sudymna"
"aristocracy quarrel"
"arjuna adorned"
"arjuna advance"
"arjuna airavata"
"arjuna alas"
"arjuna alone"
"arjuna also"
"arjuna amongst"
"arjuna angaraparna"
"arjuna anxious"
"arjuna arjuna"
"arjuna bearing"
"arjuna began"
"arjuna beholding"
"arjuna bending"
"arjuna bhima"
"arjuna blown"
"arjuna born"
"arjuna bow"
"arjuna burning"
"arjuna came"
"arjuna capable"
"arjuna casting"
"arjuna causing"
"arjuna checking"
"arjuna chief"
"arjuna clad"
"arjuna continued"
"arjuna conversant"
"arjuna countless"
"arjuna crosseth"
"arjuna cut"
"arjuna desiring"
"arjuna desirous"
"arjuna destroy"
"arjuna dhananjaya"
"arjuna dhrishtadyumna"
"arjuna dispersed"
"arjuna dost"
"arjuna drona"
"arjuna dronas"
"arjuna drupadathat"
"arjuna duly"
"arjuna duryodhana"
"arjuna dwelleth"
"arjuna eager"
"arjuna even"
"arjuna falguna"
"arjuna feasting"
"arjuna fighteth"
"arjuna filled"
"arjuna first"
"arjuna fought"
"arjuna govinda"
"arjuna grieving"
"arjuna hath"
